frame,time_s,violations,L_is_punch,R_is_punch,L_dist_norm_ema,R_dist_norm_ema,L_vel,R_vel,scale,waist_y,scale_src,reasons
0,0.0,,0,0,0.6005103261814938,0.6768946154860199,,,475.2676086425781,1141.33349609375,torso,
1,0.03333333333333333,,0,0,0.6008319370062902,0.6704644200302088,0.00032161082479642555,-0.0064301954558111385,477.5231628417969,1142.2775573730469,torso,
2,0.06666666666666667,,0,0,0.6105950300020201,0.6579725176676449,0.00976309299572986,-0.012491902362563923,485.5482864379883,1148.6353225708008,torso,
3,0.1,,0,0,0.580085815653313,0.6350205950208522,-0.030509214348707125,-0.02295192264679269,494.1931972503662,1155.042776107788,torso,
4,0.13333333333333333,,0,0,0.5520044400079804,0.6444253566909609,-0.02808137564533253,0.00940476167010873,501.4981999397278,1160.3570942878723,torso,
5,0.16666666666666666,,0,0,0.5243219361769265,0.6522061538290902,-0.027682503831053973,0.007780797138129292,508.11379277706146,1165.2523177862167,torso,
6,0.2,,0,0,0.5065688952770319,0.6591225491120011,-0.0177530408998946,0.006916395282910881,513.3051779568195,1168.853911191225,torso,
7,0.23333333333333334,,0,0,0.5191224473786886,0.6720805959244782,0.012553552101656762,0.012958046812477142,516.8275162801147,1171.2089758738875,torso,
8,0.26666666666666666,,0,0,0.5472338288585414,0.6862608325496131,0.028111381479852815,0.014180236625134901,519.0272839386016,1172.7017758507282,torso,
9,0.3,,0,0,0.5515935232447936,0.7012661838682704,0.004359694386252166,0.015005351318657323,518.9930123924278,1173.6194715364836,torso,
10,0.3333333333333333,,0,0,0.5538186951126277,0.7072566639703848,0.002225171867834108,0.005990480102114337,518.566826555063,1175.0935099023627,torso,
11,0.36666666666666664,,0,0,0.5594953224490835,0.7096536220426517,0.005676627336455797,0.0023969580722669193,518.3861337102426,1178.6394073291158,torso,
12,0.4,,0,0,0.5984747445744418,0.7413263787030433,0.03897942212535832,0.0316727566603916,516.951724916471,1181.225954422618,torso,
13,0.43333333333333335,,0,0,0.6428210063368672,1.005677365852469,0.0443462617624254,0.2643509871494256,518.1512173934079,1186.0999467739948,torso,
14,0.4666666666666667,,0,0,0.7069390329524582,1.1656685947544543,0.06411802661559096,0.15999122890198536,519.7066442462278,1191.045419064871,torso,
15,0.5,,0,0,0.9206131752740812,1.3090249408723054,0.21367414232162296,0.14335634611785109,446.03354611191696,1122.039804273629,upper,
16,0.5333333333333333,,0,0,1.156460471936797,1.2434432171788847,0.23584729666271587,-0.06558172369342063,388.1333672865744,1066.6913198037325,upper,
17,0.5666666666666667,GuardAway(R),1,0,1.2981304720650593,1.2038973674406768,0.14167000012826225,-0.03954584973820796,345.9107745188859,1026.1227701338662,upper,
18,0.6,ElbowBent(L);GuardAway(R),1,0,1.3190406824953602,1.2008088842232125,0.020910210430300946,-0.003088483217464244,316.963979937016,999.6686805361907,upper,
19,0.6333333333333333,ElbowBent(L);GuardAway(R),1,0,1.212091818716689,1.2077611324883257,-0.1069488637786713,0.006952248265113203,301.40902392370924,986.7802680696846,upper,
20,0.6666666666666666,ElbowBent(L);GuardAway(R),1,0,1.0385524247889104,1.2363286641582654,-0.1735393939277785,0.02856753166993964,289.9314017318444,979.5316793237478,upper,
21,0.7,ElbowBent(L),1,0,0.9697599174465616,1.036819031968239,-0.06879250734234876,-0.19950963219002626,272.82519161870755,964.1656612719855,upper,
22,0.7333333333333333,ElbowBent(L),1,0,0.9302012917337235,0.9458969487470678,-0.03955862571283819,-0.09092208322117135,249.68900022037832,944.0121583227636,upper,
23,0.7666666666666667,ElbowBent(L),1,0,0.9108960496196251,1.1428776155492453,-0.019305242114098342,0.19698066680217752,225.53403455859427,919.1824431362988,upper,
24,0.8,ElbowBent(L);GuardAway(R),1,0,0.9454783198026417,1.4625403378854402,0.03458227018301663,0.31966272233619497,208.31631266210977,902.8581374364526,upper,
25,0.8333333333333334,ElbowBent(L);GuardAway(R),1,0,0.9932734205850219,1.606831924679219,0.04779510078238014,0.14429158679377885,198.23421325634794,892.0583476452105,upper,
26,0.8666666666666667,ElbowBent(L);GuardAway(R),1,0,1.0018679849396461,1.4907112199829398,0.008594564354624246,-0.11612070469627933,192.7886016842043,885.5098410180266,upper,
27,0.9,ElbowBent(L);GuardAway(R),1,0,0.9806394257091373,1.3290784185751077,-0.021228559230508814,-0.1616328014078321,188.722379302704,879.266913310517,upper,
28,0.9333333333333333,ElbowBent(L);GuardAway(R),1,0,0.9717849927739692,1.2414389791554366,-0.008854432935168077,-0.08763943941967112,190.43409175852216,879.1852399526754,upper,
29,0.9666666666666667,ElbowBent(L);GuardAway(R),1,0,0.9875226788154942,1.2542738700033293,0.015737686041524923,0.0128348908478928,194.33975567802247,882.1407524361252,upper,
30,1.0,ElbowBent(L);GuardAway(R),1,0,0.988962418946713,1.4026722757308356,0.0014397401312188363,0.1483984057275063,204.30138276803834,893.1298126409977,upper,
31,1.0333333333333334,ElbowBent(L);GuardAway(R),1,0,0.9715001240393575,1.4654990300514017,-0.017462294907355513,0.06282675432056606,214.37143426230804,901.4676748417712,upper,
32,1.0666666666666667,GuardAway(R),1,0,1.1446458705352842,1.4712072614840288,0.17314574649592673,0.005708231432627109,221.9886052987818,906.2808331119192,upper,
33,1.1,ElbowBent(L);ElbowBent(R);GuardAway(L);GuardAway(R),1,1,1.0789127421976068,1.433447648366065,-0.06573312833767742,-0.03775961311796383,225.88647350533637,908.6843736132363,upper,
34,1.1333333333333333,ElbowBent(L);ElbowBent(R);GuardAway(L);GuardAway(R),1,1,0.9924786258639925,1.3740556510473259,-0.08643411633361431,-0.05939199731873912,227.3952971761214,909.6821272939726,upper,
35,1.1666666666666667,ElbowBent(L);ElbowBent(R);GuardAway(L);GuardAway(R),1,1,1.0198271568643236,1.350948464553377,0.027348531000331078,-0.02310718649394894,219.38973841553832,901.419552356771,upper,
36,1.2,ElbowBent(L);ElbowBent(R);GuardAway(L);GuardAway(R),1,1,1.0544459813341698,1.5128557523176216,0.03461882446984621,0.16190728776424468,211.31313587342132,892.9265708914186,upper,
37,1.2333333333333334,ElbowBent(L);ElbowBent(R);GuardAway(L);GuardAway(R),1,1,1.0994963338342818,1.6591900784150462,0.04505035250011202,0.14633432609742458,210.12616736527107,894.0180408470917,upper,
38,1.2666666666666666,ElbowBent(L);GuardAway(R),1,0,1.1153726024136381,1.8369215292343601,0.015876268579356312,0.17773145081931396,213.93591885891425,902.6464064592934,upper,
39,1.3,ElbowBent(L);GuardAway(R),1,0,1.1664674490350921,1.977717552648142,0.051094846621454026,0.14079602341378195,218.6755719566857,910.8845118757201,upper,
40,1.3333333333333333,GuardAway(R),1,0,1.1958029710544082,2.0863814566415964,0.029335522019316107,0.10866390399345427,226.06164494041468,920.0750654634918,upper,
41,1.3666666666666667,ElbowBent(L);GuardAway(R),1,0,1.1220312608761576,2.1793619647947295,-0.07377171017825068,0.09298050815313319,237.14115863206882,935.2908274484489,upper,
42,1.4,ElbowBent(L);GuardAway(R),1,0,1.0174129515021353,2.243140213363536,-0.10461830937402228,0.06377824856880654,246.43806044133677,949.6245021933923,upper,
43,1.4333333333333333,ElbowBent(L);GuardAway(R),1,0,0.9022419727727378,2.2566935239887114,-0.11517097872939752,0.013553310625175286,244.4350440492643,947.8286683167971,upper,
44,1.4666666666666666,ElbowBent(L);GuardAway(R),1,0,0.8162578974160398,1.8533483425839041,-0.08598407535669794,-0.40334518140480724,230.03224617171384,932.7738465134768,upper,
45,1.5,ElbowBent(L);GuardAway(R),1,0,0.7761745258607462,1.7332020294249584,-0.04008337155529362,-0.12014631315894575,223.32423345691038,925.4446976292483,upper,
46,1.5333333333333334,ElbowBent(R),0,1,0.7836124855319782,1.6457376161232862,0.007437959671231953,-0.0874644133016722,216.71211964224332,919.2361933192872,upper,
47,1.5666666666666667,ElbowBent(R);GuardAway(L),0,1,0.8539696476325307,1.5291648237711715,0.07035716210055254,-0.1165727923521147,204.5346657509696,911.0967347950684,upper,
48,1.6,ElbowBent(R);GuardAway(L),0,1,0.9146367131579265,1.4357071617186565,0.0606670655253958,-0.09345766205251493,194.1473715361276,903.8044230826905,upper,
49,1.6333333333333333,ElbowBent(R);GuardAway(L),0,1,0.9430670419877074,1.402982233767189,0.028430328829780915,-0.03272492795146764,188.444101039791,898.2872322595276,upper,
50,1.6666666666666667,ElbowBent(R);GuardAway(L),0,1,0.9909607394163549,1.4828565855724158,0.047893697428647464,0.07987435180522695,187.12589957134716,894.8586496737717,upper,
51,1.7,ElbowBent(R);GuardAway(L),0,1,1.0389808938870537,1.6475930780111008,0.04802015447069885,0.16473649243868493,189.52510399979943,894.268014507526,upper,
52,1.7333333333333334,ElbowBent(R);GuardAway(L),0,1,1.0177561779984265,1.6752830757846442,-0.021224715888627177,0.027689997773543418,199.54607638241794,902.7996656276538,upper,
53,1.7666666666666666,ElbowBent(R);GuardAway(L),0,1,0.8685141773815295,1.4153957665617778,-0.14924200061689707,-0.2598873092228664,263.2093772331025,961.8538996113654,torso,
54,1.8,ElbowBent(R),0,1,0.7903748167621251,1.2440757900551966,-0.07813936061940441,-0.17131997650658115,261.2603425561745,960.9323715011266,upper,
55,1.8333333333333333,,0,0,0.7767061505039452,1.0906616110505842,-0.013668666258179862,-0.1534141790046124,259.44697353090044,959.6684089511623,upper,
56,1.8666666666666667,,0,0,0.7546606595194287,0.9787513998907313,-0.02204549098451647,-0.11191021115985289,258.98086003098786,958.7225072748952,upper,
57,1.9,,0,0,0.7321880098849254,0.9006506765774767,-0.02247264963450335,-0.07810072331325468,260.4039876135729,959.1632019435981,upper,
58,1.9333333333333333,,0,0,0.7227467961101965,0.8552064244992923,-0.00944121377472884,-0.045444252078184366,261.62894896213277,959.3501068409993,upper,
59,1.9666666666666666,,0,0,0.689208736992515,0.8567287279840732,-0.033538059117681596,0.0015223034847808847,262.8400665189629,960.0365596992309,upper,
60,2.0,,0,0,0.7350578417327022,0.9365586083681592,0.04584910474018722,0.079829880384086,262.64808577789404,960.272620885263,upper,
61,2.033333333333333,,0,0,0.7285962021431995,0.9949558372086329,-0.006461639589502632,0.058397228840473714,319.9852937645729,1015.3806131248848,torso,
62,2.066666666666667,,0,0,0.7405582436537375,1.0229224247591402,0.011962041510537924,0.027966587550507294,361.45984129510936,1052.8161300096792,torso,
63,2.1,,0,0,0.7294128540197271,1.048000976995718,-0.01114538963401035,0.025078552236577734,396.0850390523867,1083.2814700658532,torso,
64,2.1333333333333333,,0,0,0.7126458117889758,1.0461270357426242,-0.016767042230751317,-0.0018739412530937027,421.23859160618457,1103.9776125591557,torso,
65,2.1666666666666665,,0,0,0.739229844716243,1.047780193332622,0.026584032927267187,0.0016531575899978446,439.46613700297826,1118.2976320267885,torso,
66,2.2,,0,0,0.812993066829799,1.038330878619255,0.07376322211355602,-0.009449314713366963,451.92282968094463,1128.2301209927477,torso,
67,2.2333333333333334,,0,0,0.9569918932841299,1.0092588235970328,0.14399882645433093,-0.02907205502222232,460.2058322826811,1133.97175456292,torso,
68,2.2666666666666666,,0,0,1.0360164859618304,0.9777056562200848,0.07902459267770046,-0.03155316737694802,460.9905634820304,1132.9185742229713,torso,
69,2.3,,0,0,1.0202331780017784,0.958956905166456,-0.015783307960052007,-0.01874875105362872,459.72136194257746,1130.6236840851973,torso,
70,2.3333333333333335,ElbowBent(L),1,0,0.9495285723907192,0.9521507956763147,-0.07070460561105918,-0.0068061094901413766,466.1973019745112,1138.65132629632,torso,
71,2.3666666666666667,ElbowBent(L),1,0,0.8388028687023601,0.9665644667476199,-0.1107257036883591,0.0144136710713052,416.57146891252404,1095.1236402910877,upper,
72,2.4,ElbowBent(L),1,0,0.7852868465109959,0.8972841976268265,-0.0535160221913642,-0.06928026912079333,376.65412658673677,1060.3450831235891,upper,
73,2.433333333333333,ElbowBent(L),1,0,0.7651809520955835,0.7706636697707487,-0.02010589441541244,-0.1266205278560778,338.64707000719125,1027.0939912901406,upper,
74,2.466666666666667,ElbowBent(L),1,0,0.8004956079533048,0.8324194499664774,0.03531465585772131,0.06175578019572869,295.26001029958286,983.443268926895,upper,
75,2.5,ElbowBent(L),1,0,0.863589514694473,1.1223888095961088,0.06309390674116822,0.28996935962963133,258.34365121833946,943.3190998732719,upper,
76,2.533333333333333,ElbowBent(L);GuardAway(R),1,0,0.9415834765543408,1.28962723122575,0.07799396185986784,0.1672384216296412,237.53353339666475,920.4518344416971,upper,
77,2.566666666666667,ElbowBent(L);GuardAway(R),1,0,0.9933361103655624,1.2377752877962325,0.05175263381122153,-0.05185194342951749,226.65209554310402,908.8457220684554,upper,
78,2.6,ElbowBent(L),1,0,0.914235236438725,1.0967412797616933,-0.0791008739268374,-0.14103400803453914,219.36953811850967,896.7970290162464,upper,
79,2.6333333333333333,ElbowBent(L),1,0,0.8845084468741609,1.0305834767078526,-0.029726789564564093,-0.06615780305384078,219.19436702882365,891.6934447510763,upper,
80,2.6666666666666665,ElbowBent(L),1,0,0.8849530359521043,1.0739985326800037,0.0004445890779434247,0.04341505597215112,223.5428967010611,892.418811552504,upper,
81,2.7,ElbowBent(L),1,0,0.9139669313987699,1.1758248392561297,0.02901389544666566,0.10182630657612601,230.3911736854638,896.4408523624982,upper,
82,2.7333333333333334,GuardAway(R),1,0,1.0871640550566868,1.2506836217814261,0.17319712365791684,0.07485878252529643,235.9394030607287,899.3984132815783,upper,
83,2.7666666666666666,GuardAway(R),1,0,1.2266275517012264,1.2408048017650075,0.1394634966445396,-0.009878820016418599,237.48553526673794,897.9468572176534,upper,
84,2.8,ElbowBent(L);GuardAway(R),1,0,1.0034114520113648,1.1983073378808653,-0.22321609968986156,-0.04249746388414222,232.6521763523972,890.233644500154,upper,
85,2.8333333333333335,ElbowBent(L);GuardAway(R),1,0,0.859580022894154,1.2232536249842358,-0.1438314291172108,0.024946287103370546,227.8386729747471,882.5653742900325,upper,
86,2.8666666666666667,ElbowBent(L);GuardAway(R),1,0,1.0005098002612876,1.5042953624947142,0.14092977736713352,0.28104173751047834,220.40418173301344,873.9836330734814,upper,
87,2.9,ElbowBent(L);GuardAway(R),1,0,1.0699998281003205,1.713016016319295,0.06949002783903291,0.20872065382458072,216.0058798300335,873.0278668644372,upper,
88,2.933333333333333,ElbowBent(L);GuardAway(R),1,0,1.161997833704712,1.889454184001329,0.09199800560439164,0.17643816768203413,215.2740212311677,878.1122562350588,upper,
89,2.966666666666667,ElbowBent(L);GuardAway(R),1,0,1.2000484189006577,2.079031162559767,0.03805058519594562,0.18957697855843803,218.2834044121453,886.7993124918459,upper,
90,3.0,ElbowBent(L);GuardAway(R),1,0,1.148639404887099,2.1737179187814637,-0.051409014013558796,0.09468675622169664,224.6394751535914,899.6848128524659,upper,
91,3.033333333333333,ElbowBent(L);GuardAway(R),1,0,1.0826571972858972,2.2884204893175446,-0.06598220760120177,0.1147025705360809,233.71593449019355,916.2867785846619,upper,
92,3.066666666666667,ElbowBent(L);GuardAway(R),1,0,0.968140095148359,2.234546815047949,-0.11451710213753818,-0.05387367426959555,235.05046252536,921.1035967406203,upper,
93,3.1,ElbowBent(L);GuardAway(R),1,0,0.8080849239340714,2.123224266922396,-0.16005517121428758,-0.11132254812555287,225.2899335334243,912.6477168959804,upper,
94,3.1333333333333333,ElbowBent(L);GuardAway(R),1,0,0.7115085108559812,2.1112543703307205,-0.09657641307809017,-0.011969896591675688,218.83471394401352,908.5651341380496,upper,
95,3.1666666666666665,,0,0,0.7975356265843268,1.9153574496173098,0.08602711572834554,-0.1958969207134107,212.20602203027576,903.5903316216036,upper,
96,3.2,,0,0,0.848606928949087,1.6873327444243877,0.05107130236476021,-0.22802470519292206,202.8572219060076,897.9409561899575,upper,
97,3.2333333333333334,ElbowBent(R);GuardAway(L),0,1,0.9004234889162972,1.5298888324182696,0.05181655996721024,-0.15744391200611818,194.44590257452523,894.3227661689575,upper,
98,3.2666666666666666,ElbowBent(R);GuardAway(L),0,1,0.9137867184818752,1.4176460589803859,0.013363229565578005,-0.11224277343788369,185.89541631077674,889.031440013681,upper,
99,3.3,ElbowBent(R);GuardAway(L),0,1,0.9495786195218122,1.5296461816945477,0.03579190103993701,0.11200012271416182,184.3371429825943,890.7602419212715,upper,
100,3.3333333333333335,ElbowBent(R);GuardAway(L),0,1,0.9592638485177392,1.7365222570382803,0.009685228995926942,0.20687607534373265,193.28770831116447,902.421151899938,upper,
101,3.3666666666666667,ElbowBent(R);GuardAway(L),0,1,0.9727312671003068,1.8457732823338286,0.013467418582567614,0.10925102529554831,205.76196577316827,914.5535300550193,upper,
102,3.4,,0,0,1.0078422759593892,1.8388678928942188,0.03511100885908247,-0.0069053894396098325,219.18615175907541,925.7854184610644,upper,
103,3.433333333333333,ElbowBent(L);GuardAway(R),1,0,0.9950609932503325,1.8454629920543324,-0.012781282709056763,0.006595099160113582,232.14669389743156,937.242634402439,upper,
104,3.466666666666667,ElbowBent(L);GuardAway(R),1,0,0.9934796286950429,1.783310816586209,-0.001581364555289566,-0.06215217546812335,242.52674558176508,949.3512938102522,upper,
105,3.5,ElbowBent(L);GuardAway(R),1,0,1.0019562537389017,1.7093431302420568,0.008476625043858821,-0.0739676863441523,252.4051681340777,961.1136294305651,upper,
106,3.533333333333333,ElbowBent(L);GuardAway(R),1,0,1.01439970799714,1.653253270527323,0.01244345425823834,-0.05608985971473368,261.06751745798016,970.5584139064199,upper,
107,3.566666666666667,ElbowBent(L);GuardAway(R),1,0,1.0521913584459424,1.60694899291625,0.03779165044880228,-0.04630427761107314,268.0942629714148,976.0624986317192,upper,
108,3.6,ElbowBent(L);GuardAway(R),1,0,1.0551800925105037,1.5655152866805127,0.002988734064561349,-0.04143370623573728,273.7761797114713,978.3932000388529,upper,
109,3.6333333333333333,ElbowBent(L);GuardAway(R),1,0,1.0669269696279848,1.5607302270199999,0.011746877117481125,-0.0047850596605127915,278.534420550205,978.2998782090713,upper,
